Bug ID,Reported In,URL,Database,Version / Commit,R Uncommitted,R Committed,Repeatable R,Serializable,Pessimistic,Optimistic,Interesting,Bug summary,Transaction Bug,Bug type,Deterministic,# Connections,Root cause,Issue closed
TIDB-25176,ICSE2024,https://github.com/pingcap/tidb/issues/25176,TiDB,4.0.7.tikv,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Setting tidb_snapshot breaks the isolation guarantees.,TRUE,Incorrect query result,TRUE,2,,FALSE
TIDB-26973,ICSE2024,https://github.com/pingcap/tidb/issues/26973,TiDB,5.2.0-alpha,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,The name of tables and handles are not parsed in DEBUG table.,FALSE,Incorrect query result,TRUE,2,,TRUE
TIDB-27156,ICSE2024,https://github.com/pingcap/tidb/issues/27156,TiDB,v5.2.0-alpha-1a54708a7.tikv,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Playing with lock_wait_timeout and txn_mode makes the same commit succeed / fail,TRUE,Missing error,TRUE,3,,TRUE
TIDB-28092,ASE2022,https://github.com/pingcap/tidb/issues/28092,TiDB,5.2.1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"the ""insert ignore"" command creates invalid entries",FALSE,Unexpected error,TRUE,1,,FALSE
TIDB-28095,ASE2022,https://github.com/pingcap/tidb/issues/28095,TiDB,v6.4.0.tikv,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,UPDATE with CAST has inconsistent behaviors in transaction,TRUE,Unexpected error,TRUE,1,,FALSE
TIDB-28212,ICSE2024,https://github.com/pingcap/tidb/issues/28212,TiDB,v6.4.0.tikv,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Incorrect SELECT value when row is updated by 2 transactions.,TRUE,Incorrect query result,TRUE,2,,FALSE
TIDB-29947,OSDI2023,https://github.com/pingcap/tidb/issues/29947,TiDB,5.4.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Running operations in transaction gives a different result,TRUE,Incorrect query result,TRUE,1,,TRUE
TIDB-30289,OSDI2023,https://github.com/pingcap/tidb/issues/30289,TiDB,5.4.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Server crashes when running a transaction,TRUE,Crash,TRUE,1,,TRUE
TIDB-30326,OSDI2023,https://github.com/pingcap/tidb/issues/30326,TiDB,5.4.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Server crashes with overflows,FALSE,Crash,TRUE,1,,TRUE
TIDB-30361,OSDI2023,https://github.com/pingcap/tidb/issues/30361,TiDB,5.4.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Adding order-by changes the result of selects inside transactions,TRUE,Incorrect query result,TRUE,2,,FALSE
TIDB-30397,OSDI2023,https://github.com/pingcap/tidb/issues/30397,TiDB,5.4.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Different result of select in transaction,TRUE,Incorrect query result,TRUE,1,,FALSE
TIDB-30410,ICSE2024,https://github.com/pingcap/tidb/issues/30410,TiDB,v5.2.1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Lazy constraint check causes data inconsistency,FALSE,Unexpected error,TRUE,1,,TRUE
TIDB-30412,OSDI2023,https://github.com/pingcap/tidb/issues/30412,TiDB,5.4.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Insert fails in transaction,TRUE,Unexpected error,TRUE,1,,TRUE
TIDB-30587,OSDI2023,https://github.com/pingcap/tidb/issues/30587,TiDB,5.4.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Server crashes when running a nested transaction,FALSE,Crash,TRUE,1,,TRUE
TIDB-30626,OSDI2023,https://github.com/pingcap/tidb/issues/30626,TiDB,5.4.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Query makes the server run into a buffer overflow,FALSE,Crash,TRUE,1,,FALSE
TIDB-30633,OSDI2023,https://github.com/pingcap/tidb/issues/30633,TiDB,5.4.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,A select makes the server hang,FALSE,DBMS hang,TRUE,1,,FALSE
TIDB-30804,OSDI2023,https://github.com/pingcap/tidb/issues/30804,TiDB,5.4.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Nill pointer dereference,FALSE,Crash,TRUE,1,,TRUE
TIDB-33315,ASE2022,https://github.com/pingcap/tidb/issues/33315,TiDB,5.4.0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Nill pointer dereference,TRUE,Incorrect query result,TRUE,2,,TRUE
